accession	type	class	superclass	subclass	fruDsx	synonyms	hemibrainType	flywireType	mancType	somaNeuromere	specificity	FBbt_id	FBbt_name	references
15698	PS083_a		cb_intrinsic		fru_low	Cachero 2010: aSP-i; Yu 2010: aSP11	PS083	PS083_a			parent_term	FBbt:20001838	adult posterior slope neuron 083	
65083	SMP248_c		cb_intrinsic				SMP248	SMP248b			parent_term	FBbt:20003110	adult superior medial protocerebrum neuron 248	
30597	WED166_d		cb_intrinsic				WED166_d	WED166_d			parent_term	FBbt:20003716	adult wedge neuron 166	
17400	CL123_a		cb_intrinsic		fru_low	Cachero 2010: aDT-d	CL123	CL123,CRE061			parent_term	FBbt:20000828	adult clamp neuron 123	
31970	ER3a_d	CX	cb_intrinsic				ER3a_d	ER3a			parent_term	FBbt:00047039	adult ellipsoid body ring neuron R3a	
92836	SIP003_b		cb_intrinsic				SIP003_b	SIP003_b			parent_term	FBbt:20002307	adult superior intermediate protocerebrum neuron 003	
22388	AVLP176_c		cb_intrinsic				AVLP176_c	CB2511			parent_term	FBbt:20000285	adult anterior ventrolateral protocerebrum neuron 176	
12055	PS196_b		cb_intrinsic				PS196	PS196		CG	parent_term	FBbt:20001951	adult posterior slope neuron 196	
67052	lLN2T_b	ALLN	cb_intrinsic				lLN2T_b	lLN2T_b		DC	parent_term	FBbt:00049816	adult antennal lobe local neuron lLN2T	
18730	lLN2P_b	ALLN	cb_intrinsic				lLN2P_b	lLN2P_b		DC	parent_term	FBbt:00049813	adult antennal lobe local neuron lLN2P	
24516	PVLP008_b		cb_intrinsic				PVLP008_b	CB4051			parent_term	FBbt:20002066	adult posterior ventrolateral protocerebrum neuron 008	
21881	AVLP219_c		cb_intrinsic				AVLP219	AVLP219c			parent_term	FBbt:20000328	adult anterior ventrolateral protocerebrum neuron 219	
163654	PS005_b		cb_intrinsic				PS005_b	CB4002			parent_term	FBbt:20001760	adult posterior slope neuron 005	
27359	PLP122_b		cb_intrinsic				PLP122	CB4237			parent_term	FBbt:20001622	adult posterior lateral protocerebrum neuron 122	
157834	LHPV2b2_a		cb_intrinsic				LHPV2b2_a	CB1490,CB2201			parent_term	FBbt:00051783	adult lateral horn PV2b2 neuron	
533705	AVLP299_b		cb_intrinsic		fru_high	Cachero 2010: aIP-b	AVLP299_b	AVLP299_b			parent_term	FBbt:20000408	adult anterior ventrolateral protocerebrum neuron 299	
