flow	super_class	cell_class	cell_sub_class	cell_type	hemibrain_type	specificity	FBbt_id	FBbt_name
afferent	ascending	AN	AN_GNG	AN_GNG_179		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_18		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_180		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_181		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_182		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_183		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_184		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_185		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_186		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_187		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_188		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_189		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_19		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_190		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_191		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_192		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_193		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_194		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_195		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_196		general_term	FBbt:00048301	adult ascending neuron
