primary_type	specificity	FBbt_id	FBbt_name	references
AN_multi_80	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_81	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_82		FBbt:20004424	adult AN_multi_82 neuron	
AN_multi_83	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_84	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_85	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_86	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_87	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_88	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_89	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_9	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_90	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_91	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_92	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_93	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_94	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_95	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_96	general_term	FBbt:00048301	adult ascending neuron	
